Content Type,Video title,Video publish date,Video publish year,definition,caption,pushblishDayName,tagCount,noOfWordsInTitle,durationSecs,likeCount,commentCount,Views,View-to-Like Ratio,Comments per View,Views per Minute,dayType
Video,Get This Random Person 1000000 Subscribers,07-10-2022,2022,hd,TRUE,Saturday,0,6,845,1917381,123049,47984700,3.995817417,0.256433822,3407197.633,Weekend
Video,Would YOU Rather Have A Lamborghini or This House?,08-10-2022,2022,hd,TRUE,Saturday,0,9,1102,3342867,154694,152303996,2.194864933,0.101569233,8292413.575,Weekend
Video,I Bought A Private Island,10-10-2022,2022,hd,TRUE,Thursday,0,5,697,3057388,129302,94025705,3.251651237,0.137517714,8094034.864,Workday
Video,I Spent $1000000 On Lottery Tickets and WON,11-10-2022,2022,hd,TRUE,Saturday,0,8,613,2444647,84957,73591770,3.321902707,0.115443616,7203109.625,Weekend
Video,I Ate The World’s Largest Slice Of Pizza,12-10-2022,2022,hd,TRUE,Saturday,0,8,483,3082678,130754,134046621,2.299705861,0.097543675,16651754.16,Weekend
Video,Would You Rather Have $100000 OR This Mystery Key?,16-10-2022,2022,hd,TRUE,Saturday,0,9,1101,3102161,119514,144357970,2.148936425,0.082790025,7866919.346,Weekend
Video,I Built The Worlds Largest Lego Tower,17-10-2022,2022,hd,TRUE,Saturday,0,7,836,2431010,74217,94416019,2.574785535,0.078606364,6776269.306,Weekend
Video,I Spent 50 Hours In Solitary Confinement,18-10-2022,2022,hd,TRUE,Saturday,0,7,952,3535473,111216,192224044,1.839245979,0.057857486,12114960.76,Weekend
Video,I Gave $200000 To People Who Lost Their Jobs (Corona Virus),20-10-2022,2022,hd,TRUE,Thursday,0,11,919,1339429,67232,37514353,3.570444091,0.179216739,2449250.468,Workday
Video,Videos I Could Not Upload...,21-10-2022,2022,hd,TRUE,Thursday,0,5,812,2489550,62290,77258311,3.222371765,0.08062563,5708742.192,Workday
Video,$250000 Influencer Rock Paper Scissors Tournament,22-10-2022,2022,hd,TRUE,Sunday,0,6,1680,1604473,56575,44753767,3.585112735,0.12641394,1598348.821,Weekend
Video,I Spent 24 Hours In A Doomsday Bunker,23-10-2022,2022,hd,TRUE,Saturday,0,8,719,2301557,79390,120735393,1.906281947,0.065755366,10075276.19,Weekend
Video,Giving $1000000 Of Food To People In Need,24-10-2022,2022,hd,TRUE,Friday,0,8,749,1395106,66788,30469365,4.578717016,0.219197217,2440803.605,Workday
Video,I Ran A Marathon In The Worlds Largest Shoes,25-10-2022,2022,hd,TRUE,Saturday,0,9,829,2166788,61881,77018759,2.813324998,0.080345361,5574337.201,Weekend
Video,$70000 Extreme Hide And Seek - Challenge,26-10-2022,2022,hd,TRUE,Friday,0,7,1121,1944162,67975,83448132,2.329784926,0.081457785,4466447.743,Workday
Video,I Ate A $70000 Golden Pizza,28-10-2022,2022,hd,TRUE,Saturday,0,6,776,3212386,108309,156547807,2.05201597,0.069185894,12104211.88,Weekend
Video,Surprising My Girlfriend With 100000 Roses For Valentines Day,29-10-2022,2022,hd,TRUE,Friday,0,9,788,2469268,94129,76116443,3.244066463,0.123664475,5795668.249,Workday
Video,Lamborghini Race Winner Keeps Lamborghini,30-10-2022,2022,hd,TRUE,Saturday,0,5,923,2018333,55524,85310315,2.365872169,0.065084744,5545632.611,Weekend
Video,I Gave My Credit Card To Random People,31-10-2022,2022,hd,TRUE,Saturday,0,8,1008,3083778,96516,119174518,2.587615248,0.080987112,7093721.31,Weekend
Video,I Went Back To Boy Scouts For A Day,01-11-2022,2022,hd,TRUE,Saturday,0,9,818,1596302,45242,77030739,2.072292205,0.058732398,5650176.455,Weekend
Video,$60000 Extreme Hide And Seek - Challenge,02-11-2022,2022,hd,TRUE,Friday,0,7,1079,1983331,49110,91817030,2.160090563,0.05348681,5105673.587,Workday
Video,How I Gained 15000000 Subscribers In 1 Year,03-11-2022,2022,hd,TRUE,Friday,0,8,394,873118,42383,17412482,5.014322484,0.243405851,2651647.005,Workday
Video,Important Youtube Announcement (please watch),04-11-2022,2022,hd,TRUE,Saturday,0,5,155,2399880,133991,33441765,7.176295868,0.400669642,12945199.35,Weekend
Video,Spending $1000000 In 24 Hours,06-11-2022,2022,hd,TRUE,Saturday,0,5,910,3305170,123040,117304733,2.817593046,0.104889203,7734378,Weekend
Video,Last To Stop Riding Bike Wins $1000000 (Part 4),08-11-2022,2022,hd,TRUE,Saturday,0,9,705,1079943,94093,42248892,2.556145141,0.222711166,3595650.383,Weekend
